Tag,Chromophore,Solvent,Absorption max (nm),Emission max (nm),Lifetime (ns),Quantum yield,log(e/mol-1 dm3 cm-1),abs FWHM (cm-1),emi FWHM (cm-1),abs FWHM (nm),emi FWHM (nm),Molecular weight (g mol-1),Reference
0,N#Cc1cc2ccc(O)cc2oc1=O,O,355.0,410.0,2.804262,,,,,,,187.02694302,10.1021/acs.jpcb.5b09905
1,N#Cc1cc2ccc([O-])cc2oc1=O,O,408.0,450.0,3.961965,,,,2128.3,,43.2,186.01966656791,10.1021/acs.jpcb.5b09905
2,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=O,ClC(Cl)Cl,526.0,535.0,3.602954,,,,,,,1060.705709424,10.1002/smll.201901342
3,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514.0,553.7,3.81,,,,2120.5,,65.2,350.06450858391,10.1016/j.snb.2018.10.043
4,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CS(C)=O,524.0,555.0,4.7,,,2219.7,1565.6,61.2,48.3,350.06450858391,10.1016/j.snb.2018.10.043
5,Oc1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,,451.0,,,,,,,,351.07178503600005,10.1016/j.snb.2018.10.043
6,[O-]c1c(-c2[nH+]c3ccccc3s2)cc2ccc3cccc4ccc1c2c34,C1CCCCC1,,639.0,0.49,,,,,,,351.07178503600005,10.1016/j.snb.2018.10.043
7,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350.0,395.0,2.8,,,,,,,231.125928784,10.1021/j100248a024
8,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,361.0,416.0,3.1,,,,,,,231.125928784,10.1021/j100248a024
9,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,367.0,430.0,3.4,,,,,,,231.125928784,10.1021/j100248a024
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,373.0,451.0,3.1,,,,,,,231.125928784,10.1021/j100248a024
11,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,OCC(O)CO,384.0,463.0,3.8,,,,,,,231.125928784,10.1021/j100248a024
12,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,376.0,433.0,4.1,,,,,,,285.097663348,10.1021/j100248a024
13,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCOC(C)=O,392.0,479.0,4.6,,,,,,,285.097663348,10.1021/j100248a024
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,396.0,501.0,0.6,,,,,,,285.097663348,10.1021/j100248a024
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400.0,509.0,0.85,,,,,,,285.097663348,10.1021/j100248a024
16,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413.0,524.0,2.7,,,,,,,285.097663348,10.1021/j100248a024
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361.0,407.0,2.6,,,,,,,255.125928784,10.1021/j100248a024
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380.0,450.0,3.3,,,,,,,255.125928784,10.1021/j100248a024
19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387.0,473.0,4.5,,,,,,,255.125928784,10.1021/j100248a024
20,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396.0,489.0,5.9,,,,,,,255.125928784,10.1021/j100248a024
