Alkane,"Boiling Point, C",,,,,
Cyclobutane,13,,,,,
"1,1-Dimethylcyclopropane",21,,,,,
2-Methylbutane,28,,,,,
"trans-1,2-Dimethylcyclopropane",29,,,,,
Ethylcyclopropane,36,,,,,
Pentane,36,,,,,
Methylcyclobutane,36,,,,,
"cis-1,2-Dimethylcyclopropane",37,,,,,
Cyclopentane,50,,,,,
"2,2-Dimethylbutane",50,,,,,
"1,1,2-Trimethylcyclopropane",56,,,,,
"2,3-Dimethylbutane",58,,,,,
2-Methylpentane,60,,,,,
3-Methylpentane,63,,,,,
Hexane,69,,,,,
Ethylcyclobutane,71,,,,,
Methylcyclopentane,72,,,,,
"2,2-Dimethylpentane",79,,,,,
"2,2,3-Trimethylbutane",81,,,,,
Cyclohexane,81,,,,,
"2,4-Dimethylpentane",81,,,,,
"3,3-Dimethylpentane",86,,,,,
"1,1-Dimethylcyclopentane",88,,,,,
"2,3-Dimethylpentane",90,,,,,
2-Methylhexane,91,,,,,
"trans-1,3-Dimethylcyclopentane",91,,,,,
"cis-1,3-Dimethylcyclopentane",92,,,,,
3-Methylhexane,92,,,,,
"trans-1,2-Dimethylcyclopentane",92,,,,,
3-Ethylpentane,93,,,,,
Heptane,98,,,,,
"2,2,4-Trimethylpentane",99,,,,,
"cis-1,2-Dimethylcyclopentane",100,,,,,
Methylcyclohexane,101,,,,,
Ethylcyclopentane,103,,,,,
"1,1,3-Trimethylcyclopentane",105,,,,,
"2,2-Dimethylhexane",107,,,,,
"2,5-Dimethylhexane",109,,,,,
"1,2-trans-1,4-cis-1,2,4-Trimethylcyclopentane",109,,,,,
"2,4-Dimethylhexane",109,,,,,
"1,2-trans-1,3-cis-1,2,3-Trimethylcyclopentane",110,,,,,
"2,2,3-Trimethylpentane",110,,,,,
"3,3-Dimethylhexane",112,,,,,
"2,3,4-Trimethylpentane",113,,,,,
"1,1,2-Trimethylcyclopentane",114,,,,,
"2,3,3-Trimethylpentane",115,,,,,
3-Ethyl-2-methylpentane,116,,,,,
"1,2-cis-1,4-trans-1,2,4-Trimethylcyclopentane",117,,,,,
3-Ethyl-3-methylpentane,118,,,,,
"All-cis-1,2,4-Trimethylcyclopentane",118,,,,,
"3,4-Dimethylhexane",118,,,,,
2-Methylheptane,118,,,,,
4-Methylheptane,118,,,,,
"1,2-cis-1,3-trans-1,2,3-Trimethylcyclopentane",118,,,,,
3-Methylheptane,119,,,,,
3-Ethylhexane,119,,,,,
Cycloheptane,119,,,,,
"trans-1,4-Dimethylcylohexane",119,,,,,
"cis-1,3-Dimethylcyclohexane",120,,,,,
"1,1-Dimethylcyclohexane",120,,,,,
trans-1-Ethyl-2-methylcyclopentane,121,,,,,
cis-1-Ethyl-2-methylcyclopentane,121,,,,,
trans-1-Ethyl-3-methylcyclopentane,121,,,,,
1-Ethyl-1-methylcyclopentane,122,,,,,
"2,2,4,4-Tetramethylpentane",122,,,,,
"1,2-cis-1,3-cis-1,2,3-Trimethylcyclopentane",122,,,,,
"trans-1,2-Dimethylcyclohexane",123,,,,,
"trans-1,2-Dimethylcyclohexane",124,,,,,
"2,2,5-Trimethylhexane",124,,,,,
"cis-1,4-Dimethylcyclohexane",124,,,,,
Octane,126,,,,,
Isopropylcyclopentane,126,,,,,
"2,2,4-Trimethylhexane",127,,,,,
cis-1-Ethyl-2-methylcyclopentane,128,,,,,
"2,2,4-Trimethylhexane",130,,,,,
"cis-1,2-Dimethylcyclohexane",130,,,,,
"2,3,5-Trimethylhexane",131,,,,,
N-Propylcyclopentane,131,,,,,
Ethylcyclohexane,132,,,,,
"2,2,3,4-Tetramethylpentane",133,,,,,
"2,2-Dimethylheptane",133,,,,,
"2,2,3-Trimethylhexane",134,,,,,
"3-Ethyl-2,2-Dimethylpentane",134,,,,,
4-Ethyl-2-methylhexane,134,,,,,
Methylcycloheptane,134,,,,,
